fecha_info,codigo_entidad,nombre_entidad,sector,tipo_persona,tipo_segmento,deudores_total,deudores_irregulares,pct_irregular_cantidad,credito_total_miles_pesos,credito_irregular_miles_pesos,pct_irregular_monto,registros_situacion_1,registros_situacion_2,registros_situacion_3,registros_situacion_4,registros_situacion_5,registros_situacion_11
202604,00143,BRUBANK S.A.U.,Financiero,empresa,Empresas,549,57,10.38,16649237.0,343662.0,2.06,492,18,19,16,4,0
202604,00143,BRUBANK S.A.U.,Financiero,persona_fisica,Familias,78046,19132,24.51,84538036.0,25956209.0,30.70,58914,4610,4375,5754,4393,0
202604,00143,BRUBANK S.A.U.,Financiero,total,Total,78595,19189,24.42,101187273.0,26299871.0,25.99,59406,4628,4394,5770,4397,0
202604,00147,BIBANK S.A.,Financiero,empresa,Empresas,139,17,12.23,56383771.0,2290271.0,4.06,122,6,5,3,3,0
202604,00147,BIBANK S.A.,Financiero,persona_fisica,Familias,4,1,25.00,127999.0,7282.0,5.69,3,0,1,0,0,0
202604,00147,BIBANK S.A.,Financiero,total,Total,143,18,12.59,56511770.0,2297553.0,4.07,125,6,6,3,3,0
202604,00165,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS AIRES)",Financiero,empresa,Empresas,4,0,0.00,39286176.0,0.0,0.00,4,0,0,0,0,0
202604,00165,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS AIRES)",Financiero,total,Total,4,0,0.00,39286176.0,0.0,0.00,4,0,0,0,0,0
202604,00191,BANCO CREDICOOP COOPERATIVO LIMITADO,Financiero,desconocido,Desconocido,2,0,0.00,1265973.0,0.0,0.00,2,0,0,0,0,0
202604,00191,BANCO CREDICOOP COOPERATIVO LIMITADO,Financiero,empresa,Empresas,25871,4571,17.67,1661121563.0,44012510.0,2.65,21172,1150,845,1111,1465,128
202604,00191,BANCO CREDICOOP COOPERATIVO LIMITADO,Financiero,persona_fisica,Familias,320709,49371,15.39,904464120.0,105149329.0,11.63,271145,10298,10025,14317,14731,193
202604,00191,BANCO CREDICOOP COOPERATIVO LIMITADO,Financiero,total,Total,346582,53942,15.56,2566851656.0,149161839.0,5.81,292319,11448,10870,15428,16196,321
202604,00198,BANCO DE VALORES S.A.,Financiero,empresa,Empresas,224,12,5.36,1215990838.0,340526.0,0.03,212,2,1,4,5,0
202604,00198,BANCO DE VALORES S.A.,Financiero,persona_fisica,Familias,1,0,0.00,39.0,0.0,0.00,1,0,0,0,0,0
202604,00198,BANCO DE VALORES S.A.,Financiero,total,Total,225,12,5.33,1215990877.0,340526.0,0.03,213,2,1,4,5,0
202604,00247,BANCO ROELA S.A.,Financiero,empresa,Empresas,566,37,6.54,51963496.0,686045.0,1.32,527,7,9,14,7,2
202604,00247,BANCO ROELA S.A.,Financiero,persona_fisica,Familias,432,37,8.56,4890665.0,616351.0,12.60,387,14,7,6,10,8
202604,00247,BANCO ROELA S.A.,Financiero,total,Total,998,74,7.41,56854161.0,1302396.0,2.29,914,21,16,20,17,10
202604,00254,BANCO MARIVA S.A.,Financiero,empresa,Empresas,275,13,4.73,309106317.0,3636222.0,1.18,262,3,1,4,5,0
202604,00254,BANCO MARIVA S.A.,Financiero,persona_fisica,Familias,29,2,6.90,5136892.0,523.0,0.01,26,0,0,0,2,1
