fecha_info,codigo_entidad,nombre_entidad,sector,tipo_segmento,situacion_codigo,situacion_descripcion,deudores,monto_total_miles_pesos,monto_promedio_miles_pesos,pct_deudores_segmento,pct_monto_segmento,registros_origen
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,3,Con problemas / riesgo medio,4245,24730495.0,5825.8,3.22,4.33,4245
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,5000,20332287.0,4066.5,3.79,3.56,5000
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,5,Irrecuperable,8592,13395116.0,1559.0,6.52,2.35,8592
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,1,Situacion normal,108427,742495132.0,6847.9,81.20,86.52,108427
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,11,Asistencias totalmente cubiertas con garantias preferidas A,38,4495060.0,118291.1,0.03,0.52,38
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,2,Con seguimiento especial / riesgo bajo,6955,46788119.0,6727.3,5.21,5.45,6955
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,3,Con problemas / riesgo medio,4308,27319568.0,6341.6,3.23,3.18,4308
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,4,Con alto riesgo de insolvencia / riesgo alto,5070,23232704.0,4582.4,3.80,2.71,5070
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Total,5,Irrecuperable,8726,13831383.0,1585.1,6.54,1.61,8726
202604,00131,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,Financiero,Familias,1,Situacion normal,1,90871012.0,90871012.0,100.00,100.00,1
